student_id,math_score,science_score,english_score,cs_score,prog_skill,web_dev_skill,db_skill,networking_skill,ml_skill,mobile_skill,cloud_skill,data_analysis_skill,communication,teamwork,leadership,adaptability,problem_solving,interest_tech,interest_mgmt,interest_science,interest_design,interest_health,interest_finance,interest_edu,personality_score,career_label
47,74.6,84.1,71.5,85.0,3,0,3,0,1,0,0,3,3,3,2,3,4,1,0,0,0,0,0,0,0.3575511663717146,Software Developer
48,87.7,84.7,79.6,87.3,3,3,2,1,1,1,1,2,3,2,2,3,4,1,0,0,1,0,0,0,0.5513937628796369,Software Developer
49,90.0,35.2,90.1,86.9,3,1,2,0,1,3,1,2,4,3,2,3,5,1,0,1,0,0,0,0,0.5413571804449623,Software Developer
50,58.7,89.6,55.7,90.4,3,2,2,2,1,1,0,1,4,3,3,3,5,1,0,1,0,0,0,0,0.5107900112567316,Software Developer
51,60.1,44.2,57.3,77.4,3,3,2,3,2,1,0,3,2,2,3,5,5,1,0,0,1,0,1,0,0.634586368007854,Software Developer
52,71.2,74.7,62.7,92.4,3,1,1,0,2,1,0,2,4,4,1,2,4,1,0,0,0,0,0,0,0.5261164182854935,Software Developer
53,74.7,76.6,67.7,98.9,3,2,2,1,1,1,1,2,2,4,1,3,4,1,0,0,1,0,0,0,0.6842386565416663,Software Developer
54,82.9,61.2,60.8,91.6,3,3,1,1,2,0,1,2,3,2,1,2,4,0,0,1,0,0,0,1,0.7156073704725031,Software Developer
55,66.3,57.8,57.2,78.2,3,1,2,0,1,2,0,2,4,2,4,3,4,1,0,1,0,0,0,1,0.5416346383513442,Software Developer
56,98.8,66.3,80.8,78.3,3,1,2,2,1,2,0,2,3,3,2,3,3,1,1,0,0,0,0,0,0.4165380847320147,Software Developer
57,80.8,99.9,64.9,94.7,3,2,3,1,1,1,1,3,3,2,2,2,4,1,0,1,0,0,0,0,0.5486321505033696,Software Developer
58,65.2,76.4,34.7,88.5,3,1,2,1,0,0,0,2,3,2,2,2,4,1,0,0,1,0,1,0,0.6125785696573847,Software Developer
59,65.8,66.4,60.3,89.4,3,2,2,2,2,0,0,3,2,3,1,2,4,1,1,0,0,0,0,0,0.6638732740453971,Software Developer
60,76.6,56.6,53.1,87.8,2,3,1,1,2,0,0,2,2,1,2,3,5,1,0,0,1,0,0,0,0.381876645171942,Software Developer
61,86.1,73.6,80.6,100.0,3,1,2,1,2,1,1,2,2,2,3,3,3,1,1,0,0,0,1,1,0.630497912879093,Software Developer
62,84.1,85.7,50.0,84.0,3,1,2,2,1,1,2,3,4,3,1,3,4,1,0,0,0,0,0,0,0.5184444762158432,Software Developer
63,71.7,66.7,68.7,94.5,3,2,2,1,1,2,1,3,4,4,2,2,4,1,0,0,0,0,0,0,0.4522964659312257,Software Developer
64,46.5,70.9,86.7,93.0,3,3,2,1,1,1,2,1,4,3,2,2,4,1,0,0,0,0,0,1,0.7669755903919867,Software Developer
65,63.2,77.8,63.5,91.4,3,2,3,1,2,1,1,3,2,2,1,4,4,1,1,0,0,0,0,0,0.9337298928502379,Software Developer
66,65.6,79.9,64.9,98.5,3,2,3,1,0,2,1,1,2,3,2,2,4,1,0,0,1,0,0,0,0.6365137099289608,Software Developer
67,100.0,88.5,59.1,79.0,3,1,2,1,1,0,1,2,2,1,2,4,5,1,0,0,1,0,0,0,0.48143556151205924,Software Developer
68,60.4,59.3,69.3,86.2,3,1,2,2,1,1,1,1,2,2,2,3,4,1,0,0,0,0,0,0,0.5645124842438675,Software Developer
69,79.4,53.7,70.6,87.7,2,3,1,0,1,2,0,2,3,4,2,3,4,1,0,1,0,0,0,0,0.5629215824569562,Software Developer
70,100.0,57.6,56.5,88.6,3,2,2,1,1,1,1,2,4,2,1,3,4,1,0,0,1,0,0,0,0.626712325139493,Software Developer
71,72.3,100.0,68.6,82.0,3,3,2,0,2,0,2,3,3,4,2,4,4,1,0,0,0,0,0,0,0.42304650175136904,Software Developer
72,66.8,63.8,68.6,94.1,3,1,1,1,1,1,1,2,3,3,3,4,3,1,0,0,0,0,1,0,0.511712208684662,Software Developer
73,80.1,66.5,67.0,98.5,3,3,3,1,0,1,2,2,2,3,3,3,4,1,0,0,0,0,0,0,0.4949763382277969,Software Developer
74,73.5,84.7,65.5,89.1,3,1,3,0,1,1,1,3,4,4,1,3,5,1,0,0,0,0,0,0,0.3524876729766915,Software Developer
75,85.1,92.8,63.4,80.2,3,2,0,2,1,1,1,2,4,3,2,3,4,1,0,0,0,0,0,0,0.642305122601958,Software Developer
76,80.1,62.3,54.1,88.7,2,2,1,2,2,0,1,3,4,3,3,3,4,0,0,0,1,0,0,0,0.47993448898138363,Software Developer
77,89.6,76.0,67.3,96.0,2,2,2,0,1,2,1,3,4,4,3,4,4,1,0,0,0,0,0,0,0.3097051282154248,Software Developer
78,100.0,71.3,63.7,86.5,3,0,2,0,1,0,0,2,3,3,3,3,4,1,0,0,1,0,0,0,0.9596300849835351,Software Developer
79,91.1,70.3,87.8,87.5,3,1,1,0,1,1,0,3,3,3,3,4,4,1,0,1,0,0,1,1,0.4163211661877069,Software Developer
80,82.7,68.0,79.7,97.3,3,1,2,2,1,2,1,1,2,2,4,3,3,1,0,0,0,0,0,0,0.6598974041093625,Software Developer
81,90.0,62.0,81.7,86.0,3,2,2,2,2,0,2,1,4,4,1,3,3,1,0,1,1,0,0,0,0.5177618454566898,Software Developer
82,72.7,61.4,78.3,78.5,2,3,3,1,1,0,1,2,3,3,1,3,3,1,0,0,0,0,0,0,0.49675190738300684,Software Developer
83,73.4,75.4,46.1,79.0,3,2,3,3,1,1,0,2,2,3,2,3,3,1,0,0,0,0,0,0,0.6621865384176301,Software Developer
84,79.4,80.8,88.5,97.0,3,1,2,1,0,1,1,3,3,3,1,4,4,0,0,0,0,0,0,0,0.37411125867208866,Software Developer
85,66.1,86.5,39.4,100.0,3,2,2,1,1,2,1,2,3,3,2,4,4,1,0,1,0,0,0,0,0.10894170480035803,Software Developer
86,68.9,61.0,78.7,83.7,3,2,2,2,1,2,1,2,4,4,3,3,4,1,1,0,0,0,0,0,0.5817725618461718,Software Developer
87,46.6,72.6,65.0,81.5,3,3,1,0,0,0,2,2,3,1,3,2,4,1,0,1,0,0,0,0,0.5916065406937288,Software Developer
88,65.3,72.3,51.7,94.3,3,2,2,2,0,1,0,3,2,3,2,2,4,1,0,1,0,0,0,0,0.5523068472058159,Software Developer
89,65.1,66.4,48.8,81.4,3,3,2,1,2,1,1,2,3,3,1,3,5,1,0,0,0,0,0,0,0.6889323103362389,Software Developer
90,59.2,82.7,67.4,85.7,3,2,2,1,0,1,0,2,2,2,3,3,4,1,0,0,0,0,0,0,0.6223786073242887,Software Developer
91,80.6,59.2,54.6,97.0,3,3,1,1,1,1,1,2,3,2,3,3,4,1,0,0,0,0,0,0,0.4008475938087232,Software Developer
92,100.0,72.6,77.6,82.2,3,3,2,1,2,0,0,2,4,2,3,3,3,1,1,0,0,0,0,0,0.40955670513898423,Software Developer
93,75.3,72.8,49.9,83.1,3,2,3,1,0,1,1,3,4,2,1,2,4,1,0,0,1,0,1,0,0.6199537561669503,Software Developer
94,58.7,68.1,65.5,92.7,3,1,2,1,2,1,3,1,3,3,2,2,4,1,0,1,0,0,0,0,0.6056641076970883,Software Developer
95,51.0,75.5,89.3,77.1,3,2,2,1,1,1,2,2,4,2,1,3,5,1,1,1,0,0,0,0,0.6033420023178491,Software Developer
96,64.6,57.0,70.6,93.7,3,1,2,1,0,1,0,1,2,2,2,3,4,1,0,0,0,0,0,0,0.6381597478719914,Software Developer
97,75.2,58.6,60.1,93.5,3,2,3,0,2,1,0,1,3,4,2,4,3,1,0,0,0,0,1,1,0.5481866578230918,Software Developer
98,75.2,78.5,80.2,85.0,3,3,3,2,0,1,1,3,3,2,3,1,4,1,0,1,0,0,0,0,0.3965206733022559,Software Developer
99,85.0,75.6,44.3,82.6,3,1,2,1,2,1,1,3,4,4,2,2,4,1,0,0,1,0,0,0,0.6283771157898637,Software Developer
100,89.6,79.6,65.4,80.4,2,2,3,2,2,1,2,3,3,4,2,3,3,0,0,0,0,0,0,0,0.3666682286990618,Software Developer
101,58.6,65.4,73.3,94.8,3,2,1,1,2,1,1,2,3,2,3,3,4,1,0,1,0,0,0,0,0.47109477359986296,Software Developer
102,80.6,79.7,57.2,94.2,3,3,2,1,0,0,2,1,4,2,1,3,4,1,0,0,1,0,0,0,0.6897969632439362,Software Developer
103,91.8,87.4,60.7,77.4,3,2,1,0,1,1,1,1,3,2,3,4,3,1,0,0,0,0,0,0,0.41057337097113855,Software Developer
104,76.3,74.8,64.0,89.5,3,1,3,2,2,2,0,3,4,2,2,3,5,1,0,1,0,0,0,0,0.6587085786841389,Software Developer
105,91.9,66.0,71.8,79.8,3,2,2,1,1,2,1,1,4,4,1,3,4,1,0,0,1,0,0,0,0.589523082299659,Software Developer
106,100.0,66.4,84.4,96.0,3,2,1,1,2,2,1,3,3,3,2,4,3,1,0,0,0,0,0,0,0.5927302965235627,Software Developer
107,65.9,90.6,88.9,81.9,3,3,2,1,1,0,1,2,3,4,1,4,4,1,0,0,0,0,0,0,0.5080359747256249,Software Developer
108,59.9,56.6,66.2,74.7,2,2,3,1,1,2,0,1,4,3,3,2,3,1,0,0,0,0,0,0,0.5521498089766235,Software Developer
109,82.1,58.9,71.7,80.7,3,2,3,2,0,1,1,1,3,3,4,3,3,1,0,0,0,0,0,0,0.4652838993743587,Software Developer
110,91.3,82.7,65.0,77.6,3,2,2,3,1,0,1,1,3,2,2,2,4,1,0,1,0,0,0,0,0.5765132189953075,Software Developer
111,97.0,82.0,68.4,100.0,3,2,2,2,2,0,0,2,2,3,3,3,4,1,0,0,0,0,1,0,0.5587034102212594,Software Developer
112,72.1,62.0,61.5,98.8,3,2,1,0,1,1,2,2,4,4,2,4,4,1,0,0,0,0,0,0,0.7769513899005984,Software Developer
113,81.1,59.7,81.8,93.6,3,2,2,1,1,1,2,3,3,4,1,3,5,1,0,0,0,0,0,0,0.517293115691144,Software Developer
114,54.4,70.4,67.7,84.2,3,2,3,1,2,0,1,2,2,4,1,3,3,1,0,0,0,0,0,0,0.655177948910556,Software Developer
115,78.9,63.5,52.9,72.3,3,1,2,1,1,1,1,3,3,3,2,2,4,1,0,0,1,0,0,1,0.6418703191020404,Software Developer
116,93.2,62.8,43.3,93.1,3,2,3,1,2,3,2,2,4,4,4,3,3,1,0,0,0,0,0,0,0.46702117248476704,Software Developer
117,84.4,80.6,57.9,89.0,3,2,1,2,2,1,2,3,2,3,3,4,4,1,0,0,1,0,0,0,0.4180278469746919,Software Developer
118,87.7,76.0,53.2,100.0,3,2,1,1,1,2,0,3,2,3,3,3,4,1,0,0,1,0,0,0,0.66987682298581,Software Developer
119,78.8,79.8,64.6,91.6,3,2,2,0,1,0,1,2,3,3,2,3,4,1,0,0,1,0,0,0,0.45253521597276,Software Developer
120,69.3,74.0,75.6,85.0,2,2,3,1,1,0,0,2,2,4,1,3,3,1,1,0,0,0,0,0,0.49092971973347405,Software Developer
121,82.2,74.4,69.7,72.6,3,3,2,0,1,2,2,2,4,3,1,2,5,1,0,0,1,0,0,0,0.5089010377256045,Software Developer
122,56.5,77.9,39.8,94.9,3,2,1,1,0,0,1,2,3,3,2,3,4,1,0,1,0,0,0,0,0.40059253209973394,Software Developer
123,58.5,78.2,69.9,85.5,3,1,2,2,1,1,0,2,3,2,1,3,4,1,0,0,1,0,0,0,0.5219006472390438,Software Developer
124,92.6,65.6,57.8,79.1,3,2,2,2,1,1,1,2,4,3,1,3,4,1,0,0,0,0,0,0,0.41597601491685876,Software Developer
125,64.0,79.1,73.2,100.0,3,2,2,2,0,2,1,2,3,3,2,3,5,1,0,0,0,0,0,0,0.6978174528422828,Software Developer
126,89.9,82.5,51.9,77.8,3,1,1,0,1,0,0,2,3,3,1,3,5,1,0,0,0,0,0,1,0.49415912735716017,Software Developer
127,60.8,91.0,76.2,86.1,3,1,1,1,1,0,2,2,3,3,1,3,3,1,0,1,1,0,0,0,0.5397048930871797,Software Developer
128,87.8,85.0,87.9,94.5,3,3,2,1,1,0,0,2,3,2,2,4,3,1,0,0,0,0,0,0,0.6373366716345642,Software Developer
129,68.8,92.7,71.7,77.3,3,1,3,1,1,2,0,1,3,4,1,1,4,1,0,0,0,0,0,0,0.6327611199866381,Software Developer
130,80.0,93.5,64.7,83.9,3,2,2,1,2,1,1,2,3,2,2,3,4,1,0,0,0,0,0,0,0.4554570333902288,Software Developer
131,70.7,60.6,85.8,81.1,3,2,1,1,1,1,1,2,2,3,4,3,4,1,0,0,0,0,0,0,0.6539084132675289,Software Developer
132,70.5,73.3,66.8,98.0,3,3,3,1,1,1,3,0,4,2,2,3,5,1,0,0,0,0,0,0,0.44617716818846653,Software Developer
133,99.7,82.8,56.2,90.9,2,2,2,0,0,1,1,1,3,3,2,2,5,1,0,1,0,0,0,0,0.7983110669632443,Software Developer
134,66.1,68.7,66.0,83.8,3,2,2,1,1,2,1,2,3,3,1,3,3,1,0,0,1,0,0,0,0.6901641674846961,Software Developer
135,64.4,61.5,63.7,80.8,3,2,0,1,0,0,0,2,4,3,1,3,4,1,0,0,1,0,0,0,0.44580994462552836,Software Developer
136,82.9,56.3,71.3,85.4,3,2,2,0,2,0,1,3,3,4,2,3,5,1,1,0,1,0,0,0,0.3787492267390915,Software Developer
137,88.4,92.0,60.1,93.7,3,2,1,0,1,0,1,2,3,3,2,4,4,1,0,0,1,0,0,0,0.44845072923122037,Software Developer
138,68.2,80.7,75.8,100.0,3,3,1,2,2,0,2,1,3,2,1,3,5,1,0,0,0,0,0,0,0.5988155289150716,Software Developer
139,58.9,92.9,49.6,89.5,3,1,2,2,1,3,0,3,3,4,2,2,4,1,0,0,0,0,0,0,0.27131478229025696,Software Developer
140,84.8,56.3,79.6,100.0,3,1,1,1,0,1,2,2,3,3,1,2,4,1,0,0,0,0,0,0,0.5049317696773373,Software Developer
141,51.6,88.0,61.0,86.3,3,2,3,0,2,1,0,1,4,2,1,4,4,1,0,0,0,0,0,0,0.4093111635195402,Software Developer
142,86.2,87.3,59.5,74.1,3,2,2,1,3,0,0,2,4,5,3,2,5,1,0,0,0,0,0,0,0.5470796951384355,Software Developer
143,96.0,53.9,48.6,86.8,3,3,2,1,0,2,0,3,3,4,3,3,4,1,0,0,1,0,0,0,0.4988638183980881,Software Developer
144,44.0,61.8,53.9,86.1,3,3,3,0,2,0,1,2,5,3,1,4,4,1,0,0,0,0,0,0,0.4957617129136611,Software Developer
145,78.2,82.3,78.3,83.5,3,2,3,1,0,0,1,2,5,2,2,4,5,1,0,0,0,0,0,0,0.48934038652240586,Software Developer
146,83.4,60.2,63.8,84.1,3,2,2,1,2,1,1,3,3,2,1,4,4,1,0,0,0,0,0,0,0.46156489240113985,Software Developer
147,48.4,82.8,68.0,99.1,3,3,2,2,1,1,3,3,3,2,1,3,4,1,0,0,0,0,0,0,0.4578816152487526,Software Developer
148,67.2,63.4,58.5,86.9,3,0,0,1,1,1,0,2,3,2,3,3,4,1,1,1,1,0,0,1,0.560326859692578,Software Developer
149,68.2,67.4,63.9,87.4,3,1,1,0,2,0,2,3,3,1,2,3,3,1,0,0,0,0,0,0,0.47271724092876366,Software Developer
150,84.3,82.5,48.2,100.0,3,1,2,1,1,1,0,1,3,4,2,4,5,1,0,1,0,0,0,0,0.5924419276761228,Software Developer
151,82.5,40.1,53.4,100.0,3,1,2,2,0,0,2,3,3,2,4,4,4,1,0,0,0,0,0,0,0.42813964765938706,Software Developer
152,84.9,79.9,61.9,100.0,3,2,3,0,0,1,1,2,4,2,2,3,4,1,0,0,0,0,0,1,0.5407239874058976,Software Developer
153,78.4,82.9,67.7,95.2,3,3,2,1,0,1,0,2,2,2,4,4,5,1,1,1,0,0,0,0,0.36656574706666545,Software Developer
154,95.1,84.2,63.7,96.0,3,3,2,1,1,1,1,2,3,3,2,4,3,1,0,0,0,0,0,0,0.6638767754057892,Software Developer
155,72.3,74.7,73.3,93.9,3,2,3,2,0,1,0,2,5,2,1,4,3,1,0,0,0,0,0,0,0.4550867455172442,Software Developer
156,52.4,56.1,64.7,82.2,3,2,3,1,1,2,1,2,3,3,1,4,5,1,0,0,0,0,0,0,0.5513242207401092,Software Developer
157,92.9,54.9,73.8,92.7,3,2,3,2,0,2,1,2,3,3,3,3,3,1,0,1,0,0,0,0,0.49097052160454074,Software Developer
158,80.7,74.5,57.9,90.5,3,3,1,2,1,1,1,1,3,3,1,4,4,1,0,1,0,0,0,0,0.440550306426831,Software Developer
159,79.2,44.4,77.2,86.7,3,3,2,1,2,2,0,1,3,3,2,4,3,1,0,0,0,0,0,0,0.20257842055466857,Software Developer
160,71.6,77.4,48.1,84.7,3,2,2,1,1,2,1,1,2,2,3,4,4,1,0,0,0,0,0,0,0.4819311272253875,Software Developer
161,79.2,69.7,68.9,87.9,3,3,2,1,0,2,1,2,4,3,1,2,3,1,0,0,0,0,0,0,0.6207313570627309,Software Developer
162,59.2,57.3,54.0,84.1,3,2,1,1,1,1,0,2,3,3,3,3,4,1,0,0,0,0,0,0,0.4163665582086913,Software Developer
163,75.5,46.4,72.9,94.5,3,2,1,1,0,0,1,2,3,2,2,3,4,1,0,0,1,0,0,0,0.5773751545898821,Software Developer
164,79.2,80.3,50.0,79.1,2,3,2,0,1,2,1,2,2,2,3,4,4,1,0,0,0,0,0,0,0.760741349382718,Software Developer
165,94.4,56.7,60.6,86.8,2,2,1,1,1,0,1,2,3,2,2,4,4,1,0,1,0,0,0,0,0.6994177322366694,Software Developer
166,80.7,68.4,72.4,100.0,3,1,3,0,1,2,1,2,3,1,3,3,5,1,0,0,0,0,0,0,0.6097042044942805,Software Developer
167,95.9,78.5,70.2,91.0,3,2,3,0,2,1,2,1,3,2,1,3,5,1,0,0,0,0,0,0,0.4232587842109756,Software Developer
168,75.9,81.4,52.8,94.8,3,2,3,0,1,2,1,1,4,4,1,4,4,1,0,0,0,0,0,0,0.5794845321463697,Software Developer
169,68.8,81.0,71.5,91.4,3,1,2,0,3,1,1,2,3,3,3,3,4,0,0,0,0,0,1,0,0.8335661027733674,Software Developer
170,69.5,61.5,94.8,98.0,3,2,3,0,1,1,0,2,4,4,2,5,3,1,0,0,1,0,0,0,0.6034325064721694,Software Developer
171,49.7,64.3,41.3,94.0,2,2,1,1,2,1,0,2,3,3,1,3,3,1,0,0,0,0,0,0,0.4555173171454285,Software Developer
172,76.8,61.9,79.1,86.3,3,1,2,1,2,2,0,1,3,2,2,3,4,1,0,0,0,0,0,0,0.702414028247045,Software Developer
173,82.8,67.3,64.7,82.5,3,3,1,1,2,1,1,3,3,3,1,3,4,1,0,0,0,0,0,0,0.5792263510405208,Software Developer
174,78.8,79.7,60.2,81.9,3,3,1,1,1,2,1,1,3,3,1,3,4,1,0,0,1,0,0,0,0.49575512145742623,Software Developer
175,87.9,71.0,78.7,84.9,3,3,2,1,2,0,1,2,3,3,1,2,5,0,0,0,0,0,0,0,0.6829286782877194,Software Developer
176,64.9,56.9,57.9,99.3,3,3,1,2,1,1,0,2,2,2,2,3,5,1,0,0,0,0,0,0,0.7000032572639234,Software Developer
177,73.3,65.3,64.3,90.7,3,2,2,2,1,1,0,0,3,3,2,3,4,1,0,0,0,0,0,0,0.7191670375950848,Software Developer
178,47.1,71.3,78.8,87.2,3,2,2,0,1,2,1,2,3,3,1,3,4,1,0,1,1,0,0,0,0.6963517518157231,Software Developer
179,67.8,74.3,93.2,82.3,3,2,2,1,2,0,0,2,4,2,1,3,4,1,0,0,0,0,0,1,0.3864687389800856,Software Developer
180,71.9,55.9,44.5,88.6,3,2,2,1,2,1,1,2,3,2,3,4,5,1,0,0,0,0,0,0,0.8920748959716412,Software Developer
181,100.0,75.0,68.3,88.1,2,3,2,1,0,0,2,2,4,3,1,4,4,1,0,0,1,0,0,0,0.6548033220275565,Software Developer
182,76.1,75.7,77.7,89.6,3,2,1,1,0,0,1,2,2,2,1,3,5,1,0,1,1,0,0,0,0.590666055234555,Software Developer
183,44.7,68.8,57.8,80.3,3,2,3,0,2,2,0,2,3,3,3,3,4,1,0,0,0,0,0,1,0.4854536020068037,Software Developer
184,66.5,56.6,74.8,100.0,3,2,1,1,2,0,1,1,3,3,1,2,5,1,0,0,0,0,1,0,0.5549061634403152,Software Developer
185,74.7,68.7,79.6,79.4,3,3,2,2,2,1,1,1,4,3,2,3,3,1,0,0,0,0,0,0,0.6254878097124258,Software Developer
186,45.5,69.0,65.2,77.2,3,1,1,1,1,1,1,2,3,3,3,3,5,1,0,1,0,0,0,0,0.6973268480150032,Software Developer
187,58.6,71.6,76.9,93.2,2,3,2,0,1,1,1,2,3,3,1,2,4,1,0,1,0,0,0,0,0.6377949154774507,Software Developer
